"city","playlist_title","position","artist","title","reason"
"Dallas","Dallas: The Game Bureau","1","Erykah Badu","On & On","South Dallas neo-soul cornerstone."
"Dallas","Dallas: The Game Bureau","2","Stevie Ray Vaughan & Double Trouble","Texas Flood","Dallas guitar legend, Texas blues gravity."
"Dallas","Dallas: The Game Bureau","3","The D.O.C.","It's Funky Enough","Dallas hip-hop voice with West Coast reach."
"Dallas","Dallas: The Game Bureau","4","Old 97's","Timebomb","Dallas alt-country rail spark."
"Dallas","Dallas: The Game Bureau","5","St. Vincent","Digital Witness","North Texas art-rock edge."
"Dallas","Dallas: The Game Bureau","6","The Flatlanders","Dallas","Classic song that names the city plainly."
"Dallas","Dallas: The Game Bureau","7","Mark Chesnutt","Goin' Through the Big D","Big D in the hook."
"Dallas","Dallas: The Game Bureau","8","Wiz Khalifa","We Dem Boyz","Cowboys fan shorthand and stadium cue."
"Dallas","Dallas: The Game Bureau","9","Pantera","Puck Off","Dallas Stars goal-song thunder."
"Dallas","Dallas: The Game Bureau","10","Creed","Higher","Texas Rangers 2023 postseason anthem."
"New Orleans","New Orleans: The Game Bureau","1","Louis Armstrong","Do You Know What It Means to Miss New Orleans","City standard, hometown gravity."
"New Orleans","New Orleans: The Game Bureau","2","Fats Domino","Walking to New Orleans","Local legend with the city in the chorus line."
"New Orleans","New Orleans: The Game Bureau","3","Professor Longhair","Go to the Mardi Gras","Carnival piano, parade-ready."
"New Orleans","New Orleans: The Game Bureau","4","The Meters","Hey Pocky A-Way","New Orleans funk bedrock."
"New Orleans","New Orleans: The Game Bureau","5","Dr. John","Right Place Wrong Time","Night Tripper energy for the neighborhood crawl."
"New Orleans","New Orleans: The Game Bureau","6","Rebirth Brass Band","Do Whatcha Wanna","Second-line brass, pure street motion."
"New Orleans","New Orleans: The Game Bureau","7","Kermit Ruffins","Drop Me Off in New Orleans","A love letter with the destination named plainly."
"New Orleans","New Orleans: The Game Bureau","8","Big Freedia","Explode","Bounce from the city that built the style."
"New Orleans","New Orleans: The Game Bureau","9","Choppa","Choppa Style","Local bounce turned Saints and Pelicans rally fuel."
"New Orleans","New Orleans: The Game Bureau","10","Louis Armstrong","When the Saints Go Marching In","Traditional standard, stadium shorthand, city signature."
"Pittsburgh","Pittsburgh: The Game Bureau","1","Wiz Khalifa","Black and Yellow","Pittsburgh colors turned national sports anthem."
"Pittsburgh","Pittsburgh: The Game Bureau","2","Mac Miller","Frick Park Market","A local landmark in the hook of the city story."
"Pittsburgh","Pittsburgh: The Game Bureau","3","Mac Miller","Party on Fifth Ave.","Neighborhood-name energy from a Pittsburgh voice."
"Pittsburgh","Pittsburgh: The Game Bureau","4","Donnie Iris","Ah! Leah!","Steel City power-pop staple."
"Pittsburgh","Pittsburgh: The Game Bureau","5","Joe Grushecky and The Houserockers","Pumping Iron","Blue-collar rock with a Pittsburgh pulse."
"Pittsburgh","Pittsburgh: The Game Bureau","6","Code Orange","Forever","Modern heavy music from the Pittsburgh scene."
"Pittsburgh","Pittsburgh: The Game Bureau","7","Roger Wood","Here We Go","The Steelers fight-song cue."
"Pittsburgh","Pittsburgh: The Game Bureau","8","Styx","Renegade","A Steelers defensive anthem by association."
"Pittsburgh","Pittsburgh: The Game Bureau","9","Sister Sledge","We Are Family","The 1979 Pirates' forever song."
"Pittsburgh","Pittsburgh: The Game Bureau","10","Andrew W.K.","Party Hard","Penguins goal-song voltage."
